"role","name","url","scholar_url","scholar_id"
"Researchers","Sannah Gulamani","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/sannah-gulamani/","",NA
"Researchers","Eva Gutierrez-Sigut","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/eva-gutierrez-sigut/","","8X208dkAAAAJ"
"Researchers","Joanna Holeniewska","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/joanna-holeniewska-2/","",NA
"Researchers","Sarah Jenkins","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/sarah-jenkins/","http://scholar.google.com/citations?user=3KYdM-IAAAAJ&hl=en","3KYdM-IAAAAJ"
"Researchers","Stefanie Keupp","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/stefanie-keupp/","https://scholar.google.co.uk/citations?user=6uO_uLsAAAAJ&hl=en","6uO_uLsAAAAJ"
"Researchers","Nareg Khachatoorian","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/nareg-khachatoorian/","",NA
"Researchers","Alice Liefgreen","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/alice-liefgreen-2/","","kNFvPpUAAAAJ"
"Researchers","Simone Malejka","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/simone-malejka/","","K1WOoUAAAAAJ"
"Researchers","Mai Morimoto","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/mai-morimoto/","","IXgAVnsAAAAJ"
"Researchers","Rob Mok","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/rob-mok/","https://scholar.google.com/citations?user=WGsCCcYAAAAJ&hl=en","WGsCCcYAAAAJ"
"Researchers","Yasamin Motamedi","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/yasamin-motamedi/","","eHw1KCUAAAAJ"
"Researchers","Dyutiman Mukhopadhyay","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/dyutiman-mukhopadhyay/","","yQyDrv4AAAAJ"
"Researchers","Catherine Perrodin","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/catherine-perrodin/","https://scholar.google.co.uk/citations?user=jX0qnCkAAAAJ&hl=en","jX0qnCkAAAAJ"
"Researchers","Toby Pilditch","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/toby-pilditch/","","XVrbNrMAAAAJ"
"Researchers","Sophie Renaudineau","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/sophie-renaudineau/","https://scholar.google.co.uk/citations?user=t11DkUYAAAAJ&hl=en","t11DkUYAAAAJ"
"Researchers","David Sidhu","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/david-sidhu/","https://scholar.google.ca/citations?user=Te8LsG8AAAAJ&hl=en","Te8LsG8AAAAJ"
"Researchers","Sandra Smith","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/jordan-fenlon/","",NA
"Researchers","Laura Sparaci","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/laura-sparaci-2/","",NA
"Researchers","Fahreen Walji","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/fahreen-walji/","",NA
"Researchers","Stefano Zucca","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/stefano-zucca/","","8R7-1ScAAAAJ"
